ENIntro
Key,Description,Standard,PTBR
SAY.ENIntro.1.Ellie,,...Hello! My name is Ellie!,...Olá! Meu nome é Ellie!
SAY.ENIntro.4.Ellie,,...,...
SAY.ENIntro.5.Ellie,,"Hmm... there’s not really much else to say, I’m just a normal girl with normal hobbies and a normal-ish job...{wc}Um, wanna know my favorite color? It's #c70a0a, a nice shade between red and red velvet!","Hmm... não há muito mais a se dizer, eu sou apenas uma garota normal com passatempos normais e um trabalho normal…{wc}hum, quer saber qual a minha cor favorita? É a #c70a0a, um belo tom entre vermelho e carmesim!"
SAY.ENIntro.105.Ellie,,"I don’t know, I’m just rambling on now...","Eu não sei, agora estou apenas divagando…"
SAY.ENIntro.7.Ellie,,"Oh! Today marks the 3 week anniversary of my first ever job. It doesn’t have any set hours, but it pays $1,500 every time I go! Can you believe it?","Oh! Hoje faz exatos 3 meses que comecei no primeiro trabalho da minha vida. Não é um trabalho com horário fixo, mas paga 7 mil reais toda vez que vou! Você acredita nisso?"
SAY.ENIntro.6.Ellie,,"Ah, but you must be wondering ‘where are you?’ and ‘what are you wearing?’ and ‘why does your hair look so gorgeous?’.{wi} Fear not, for I am here to answer all your questions!","Ah, mas você deve estar se perguntando ‘onde você está?’ e ‘o que você está vestindo?’ e ‘por que seu cabelo está tão lindo?’. Não tema, pois eu estou aqui para responder todas as suas perguntas!"""
SAY.ENIntro.23.Ellie,,My first college semester is finally over!! All my pain and suffering can end!!!,Meu primeiro semestre da faculdade finalmente acabou!! Toda a minha dor e sofrimento terminaram!!!
SAY.ENIntro.109.Ellie,,"Temporarily, but still...","Temporariamente, mas ainda..."
SAY.ENIntro.25.Ellie,,"Woah, what is this? A poster? It’s so cute!","Uau, o que é isso? Um cartaz? É tão fofo!"
SAY.ENIntro.26.Ellie,,Hmmm..{wc}Miss Inconspicuous Maid Girl Cleaning Co... (That’s such a long name)... Now hiring for --,Hmmm..{wc}Serviços de Limpeza Dona Discreta... (Que nome longo)... Contratando agora por –
SAY.ENIntro.113.Ellie,, -- HUH?,– HUH?
