Key,Description,Standard,pt-br
SAY.Flowchart.4.Ellie,,"Oh, what a long day!","Ah, que dia longo!"
SAY.Flowchart.1.Miss,,"Yeah, it’s 3:30 AM already.{wc}Sorry for keeping you here late, I’ll pay you overtime.","Sim, já são 3:30 da manhã.{wc}Desculpe por te segurar aqui até tarde, vou te pagar hora extra."
SAY.Flowchart.186.Ellie,,{i}(Overtime !??$??!$?$? Overtime AND a raise??),{i}(Hora extra !??$??!$?$? Hora extra E um aumento??)
SAY.Flowchart.182.Ellie,,"Are you sure? I mean, I would love it, but..","Você tem certeza? Quero dizer, eu amaria, mas.."
SAY.Flowchart.188.Miss,,"Of course, that’s only proper!{wc}Even if this job is relatively ‘underground,’ we still have to be virtuous people.","Claro, isso é o justo!{wc}Mesmo que este trabalho seja ""alternativo"", nós ainda temos que ser pessoas íntegras."
SAY.Flowchart.189.Ellie,,"You know, I don’t think I’d mind working on harder tasks...","Sabe, eu não acho que me importaria em trabalhar com tarefas mais difíceis..."
SAY.Flowchart.106.Miss,,Hahah!,Hahah!
SAY.Flowchart.265.Miss,,"Hmm, but -- short thought experiment -- what if the money was coming from an immoral place?","Hmm, mas, só para saber, e se o dinheiro estivesse vindo de um lugar imoral?"
SAY.Flowchart.183.Ellie,,Huh? What do you mean?,Hã? O que você quer dizer?
SAY.Flowchart.191.Miss,,"Well~, sometimes I just like thinking of who’s touched this money before, you know? How did it get into my hands?","Bom~ às vezes eu só gosto de pensar em quem tocou nesse dinheiro antes de mim, sabe? Como ele veio parar nas minhas mãos?"
SAY.Flowchart.193.Ellie,,"Oh! I’ve never thought of that. Maybe the previous owner could have owned 15 cats!{wc}Ahh, I love cats...","Ah! Eu não tinha pensado nisso. Talvez o antigo dono do dinheiro poderia ter 15 gatos!{wc}Ahh, eu amo gatos..."
SAY.Flowchart.194.Miss,,"Aww yes, cats are amazing.","Ahh sim, gatos são incríveis."
SAY.Flowchart.196.Ellie,,We don’t deserve them!,Nós não os merecemos!
SAY.Flowchart.197.Miss,,I concur.,Eu concordo.
SAY.Flowchart.201.Ellie,,"It seems like today is another work day. There’ve been so many I lost count, from all over the place!{wc}That reminds me: the other day, I finally got enough money to purchase something at Pocket Jewelry -- a cute little cat pendant necklace -- and sort of hinted at the robbery...","Parece que hoje é outro dia de trabalho. Já foram tantos que perdi as contas, e em todos os cantos da cidade!{wc}Isso me lembra que, no outro dia, eu finalmente consegui dinheiro o bastante para comprar algo na Joias de Bolso, um colar com pingente de gato muito fofo, e meio que falei do roubo…"
SAY.Flowchart.214.Store Clerk,,Thank you for your purchase!{wc}Have a nice day!,Obrigada pela sua compra!{wc}Tenha um ótimo dia!
SAY.Flowchart.215.Ellie,,"Ah, thank you!{wc}...{wc}Um... can I ask, though, just out of curiosity, was everything fine after the occasion?","Ah, obrigada!{wc}...{wc}Hum... quero te perguntar, só por curiosidade, ficou tudo bem depois da ocorrência?"
SAY.Flowchart.216.Store Clerk,,...Sorry? Which occasion?,...Me desculpe? Que ocorrência?
SAY.Flowchart.217.Ellie,,"You know, the...","Você sabe, o..."
SAY.Flowchart.288.Ellie,,{i}I motion at the display cases I cleaned.{/i},{i}Eu aponto para as vitrines que reparei.{/i}
SAY.Flowchart.218.Store Clerk,,"Um... hmm, I’m not sure what you’re talking about exactly...{wc}...{wc}...",Hum... Eu não sei muito bem do que você tá falando...{wc}...{wc}...
SAY.Flowchart.274.,,{i}She seems to pale a little bit as her eyes widen.{/i},{i}Ela parece arregalar os olhos e ficar meio pálida.
SAY.Flowchart.275.Store Clerk,,"Ah, were you part of the drug-- {wc}I mean, sorry, no, we’re perfectly fine. Don’t worry, your jewelry is genuine.","Ah, você soube da gangue... {wc}Quero dizer, me desculpe, não, estamos perfeitamente bem. Não se preocupe, sua joia é verdadeira."
SAY.Flowchart.276.,,"{i}She’s so awkward I can’t help trying to end things on a lighter note. And what does she mean, drugs? I thought it was just a simple robbery!{/i}","{i}Ela está tão desconfortável que eu devo tentar encerrar isso de forma mais leve. E o que ela quis dizer com ""gangue""? Eu achei que tivesse sido um simples roubo feito por uma só pessoa!"
SAY.Flowchart.219.Ellie,,"Oh, don’t worry about it! You know, I’m buying this necklace because I’m a cleaner!","Ah, não se preocupe com isso! Sabe, eu estou comprando esse colar porque eu sou uma faxineira!"
SAY.Flowchart.289.Ellie,,"I used to wear a ring, but you always have to take those off when you wear gloves, and...","Eu costumava usar um anel, mas você sempre tem que tirar eles quando usa luvas, e..."
SAY.Flowchart.277.,,{i}The store clerk’s mood noticeably shifts at the mention that I’m a cleaner. She looks back at the purchase screen.,{i}A expressão da atendente muda de forma notável após eu mencionar que sou uma faxineira. Ela olha novamente para a tela de compras.
SAY.Flowchart.231.Ellie,,"But yeah, it was really weird. I mean, I know I’m not supposed to talk about the crimes publicly, but isn’t it just a little strange?","Mas sim, foi bem esquisito. Quero dizer, eu sei que não posso falar dos crimes publicamente, mas não é um pouco estranho?"
SAY.Flowchart.232.Ellie,,"Whatever! 2 AM at the new location, as always!{wc}This time, I want to give Miss a little gift. She’s been doing so much for me, I should give her something back!","Tanto faz! Às 2 da manhã no novo local, como sempre!"
SAY.Flowchart.234.Ellie,,"...{wc}...But going through my stash, I really don’t have much.{wc}I guess I’ll settle for some cherries I got from JEFB Grocery? They’re pretty good!","Dessa vez eu quero dar um pequeno presente pra Dona. Ela tem feito tanto por mim, eu deveria retribuir!{wc}...{wc}...Mas analisando minhas reservas eu vi que não tenho muito dinheiro.{wc}Será que devo dar pra ela algumas cerejas que comprei mais cedo no mercado JEFB? Elas são muito boas!"
SAY.Flowchart.241.,,"{i}I walk into the unnamed abandoned building.{wc}It doesn’t even have an address! Miss just told me it was connected to the place at 721 Effix Street and that I’d have to search for a staircase down.{wc}I did find this place after searching a while, though it does give me a bit of the creeps. It’s so dirty, and there are so many random pairs of childrens’ shoes and litter everywhere.","{i}Eu entro no prédio abandonado e sem nome.{wc}Ele não tem nem um endereço! Dona só me disse para ir até a Rua Effix, número 721 e procurar por uma escadaria para descer.{wc}Acabei encontrando depois de procurar um pouco, embora esse lugar me dê arrepios. É muito sujo, tem muito lixo e vários pares aleatórios de sapatinhos de criança."
