Key,Description,Standard,pt-br
SAY.Final.1.Ellie,,"Ahh, that was a little tiring. I wish I had more chances to eat the cherries.","Ahh, isso foi um pouco cansativo. Eu queria ter tido mais chances para comer as cerejas."
SAY.Final.265.Miss,,Do you want the rest of them back? You can have them.,Você quer o resto delas de volta? Pode ficar com elas.
SAY.Final.267.Ellie,,"Noo! We went over this already! You take them. I have more at home! Plus, they were buy one pound get one pound free--","Nãao! Já falamos sobre isso! Você fica com elas. Eu tenho mais em casa! Além do mais, estavam na promoção..."
SAY.Final.268.Ellie,,"Oh, wait, I shouldn’t have said that. Oops!","Ah, espera, eu não deveria ter dito isso. Oopa!"
SAY.Final.269.Miss,,"Hahaha! Don’t worry, it makes me feel a little better knowing you saved some money.","Hahaha! Não se preocupe, isso faz eu me sentir um pouco melhor, saber que você economizou dinheiro."
SAY.Final.264.Ellie,,"Mm, another day.{wc}...{wc}Miss told me to be there at 2 AM like usual, but I’m up early…{wc}I know it’s 11 PM right now, but I think I’ll just go now -- the address looked like it was way inside the forest. I’m bound to get lost.{wc}Ooh! Perhaps I should bring her some apples this time?","Hum, mais um dia.{wc}…{wc}Dona me disse para estar lá às 2 da manhã, como sempre, mas acordei cedo.{wc}Eu sei que são 11 da noite agora, mas acho que já irei. O endereço parecia ser no meio da floresta. Com certeza vou me perder.{wc}Aah! Talvez eu deva levar umas maçãs para ela desta vez?"
SAY.Final.283.Ellie,,"{i}Somehow, I ended up navigating the directions perfectly well! That’s a win, but now I’m here 2 hours early.{wc}...{wc}After getting through an ivy-infested gate as tall as at least 200 crates of melons, I’m now standing in front of this huge manor clutching a basket of red apples in my hands.{wc}Well, red apples and a rose. Might as well have brought a slice of cake and a bottle of wine.{wc}...","{i}De algum jeito, acabei seguindo as direções perfeitamente bem! Isso é ótimo, mas agora estou aqui 2 horas mais cedo.{wc}…{wc}Após atravessar um portão cheio de trepadeiras e com umas 200 caixas de melão de altura, agora estou parada de frente para essa mansão gigante e com uma cesta de maçãs vermelhas nas mãos.{wc}Bom, maçãs e uma rosa. Eu deveria ter trago, também, uma fatia de bolo e uma garrafa de vinho.{wc}…"
SAY.Final.81.Ellie,,"{i}Weird, I swear I just heard some sort of sound come from inside.{wc}...{wc}Okay, well, it wouldn’t be good if the crime scene was ruined, right?{wc}...But it’s kind of scary, and I don’t want to be that type of dumb horror movie protagonist...{wc}This wooden door in front of me is all that’s blocking me from the indoors and out.{wc}It’s actually quite pretty. The wood has little cedar patterns carved into it --{wi} maybe it’s made of cedar wood?—{wc}I’m jerked out of my thoughts as I hear another sound from inside.{wc}Should I just go inside?{wc}I really don’t want to disappoint Miss. I know she told me to wait until exactly 2 AM, but that was months ago, and aren’t we closer now?{wc}What if the scene gets ruined because I didn’t do anything about it?{wc}I could clean up the entire thing now and tell her I did it! I think she would be happy!{wc}My hands don’t reflect my thoughts, however, and they sweat so badly my basket feels like it just became a tug-of-war rope.","{i}Esquisito, posso jurar que ouvi algum tipo de som vindo lá de dentro.{wc}…{wc}Tá bem, ótimo, não seria bom se a cena do crime fosse arruinada, certo?{wc}…Mas é meio assustador, e eu não quero ser como um protagonista idiota de filmes de terror…{wc}Tudo que me separa do interior da mansão é essa porta de madeira na minha frente.{wc}Na verdade, até que ela é bonita. A madeira tem pequenos padrões entalhados... talvez ela seja feita de cedro?{wc}De repente, sou puxada de volta dos meus pensamentos ao ouvir outro som vindo lá de dentro.{wc}Será que devo entrar?{wc}Eu realmente não quero decepcionar a Dona. Eu sei que ela me disse para esperar exatamente até as 2 da manhã, mas isso já faz dois meses, não somos mais íntimas agora?{wc}O que aconteceria se a cena fosse arruinada por eu não ter feito nada a respeito?{wc}Eu poderia arrumar tudo agora e depois dizer pra ela que eu fiz isso! Eu acho que ela ficaria feliz!{wc}Entretanto, minhas mãos não obedecem ao meu cérebro, e estão tão suadas que a cesta parece escorregar delas."
SAY.Final.83.Ellie,,{i}Whatever -- a leap of faith it is!{wc}For Miss!,{i}Que seja... é um ato de fé!{wc}Pela Dona!
SAY.Final.86.Ellie,,{i}I walk into Spider Manor.{s=5}{wc}...{wc}{/s}{s=15}I freeze in shock. {wc}My basket drops to the floor. {wc}{/s}{s=20}The apples roll out one by one towards the scene in front of me.,"{i}Eu entro na Mansão Aranha.{s=5}{wc}…{wc}{/s}{s=15}Meu corpo congela.{wc}Minha cesta cai no chão.{wc}{/s}{s=20}As maçãs, uma após a outra, rolam até a cena na minha frente."
