Key,Description,Standard,pt-br,uk,ru
SAY.Flowchart.4.Ellie,,"Oh, what a long day!","Ah, que dia longo!","Ах, який довгий день!","Ох, какой долгий день!"
SAY.Flowchart.1.Miss,,"Yeah, it’s 3:30 AM already.{wc}Sorry for keeping you here late, I’ll pay you overtime.","Sim, já são 3:30 da manhã.{wc}Desculpe por te segurar aqui até tarde, vou te pagar hora extra.","Так, уже 3:30 ранку.{wc}Вибач, що затримала тебе на такий час, я оплачу понаднормові.","Да, уже 3:30 утра.{wc} Извини, что держала тебя так поздно, я заплачу тебе за переработку."
SAY.Flowchart.186.Ellie,,{i}(Overtime !??$??!$?$? Overtime AND a raise??),{i}(Hora extra !??$??!$?$? Hora extra E um aumento??),{i}(Понаднормові !??$??!$?$? Понаднормові ТА підвищення??),{i}(Переработка?!? Деньги?!? Переработка и повышение?!?
SAY.Flowchart.182.Ellie,,"Are you sure? I mean, I would love it, but..","Você tem certeza? Quero dizer, eu amaria, mas...","Ви впевнені? Я маю на увазі, я була би рада, але...","Ты уверена? Я бы с удовольствием, но..."
SAY.Flowchart.188.Miss,,"Of course, that’s only proper!{wc}Even if this job is relatively ‘underground,’ we still have to be virtuous people.","Claro, isso é o justo!{wc}Mesmo que este trabalho seja ""alternativo"", nós ainda temos que ser pessoas íntegras.","Ясна річ!{wc}Навіть якщо ця робота радше «підпільна», ми маємо бути чесними людьми.","Конечно, это же правильно!{wc} Даже если наша работа относительно 'незаметная', мы всё равно должны оставаться порядочными людьми."
SAY.Flowchart.189.Ellie,,"You know, I don’t think I’d mind working on harder tasks...","Sabe, eu não acho que me importaria em trabalhar com tarefas mais difíceis...","Знаєте, гадаю, я була б не проти виконувати складніші доручення...","Знаешь, мне кажется, я не возражала бы работать над более сложными заданиями..."
SAY.Flowchart.106.Miss,,Hahah!,Hahah!,Ха-ха-ха!,Ха-ха-ха!
SAY.Flowchart.265.Miss,,"Hmm, but -- short thought experiment -- what if the money was coming from an immoral place?","Hmm, mas, só para saber, e se o dinheiro estivesse vindo de um lugar imoral?","Гм-м, але якби -- просто уявімо на мить -- ці гроші мали аморальне походження?","Хмм, но вот — маленький мысленный эксперимент — что если деньги поступают из аморального источника?"
SAY.Flowchart.183.Ellie,,Huh? What do you mean?,Hã? O que você quer dizer?,Га? Що Ви маєте на увазі?,Что? Что ты имеешь в виду?
SAY.Flowchart.191.Miss,,"Well~, sometimes I just like thinking of who’s touched this money before, you know? How did it get into my hands?","Bom~ às vezes eu só gosto de pensar em quem tocou nesse dinheiro antes de mim, sabe? Como ele veio parar nas minhas mãos?","Ну~, іноді мені цікаво розмірковувати, хто міг тримати мої гроші до того, розумієш? Який шлях вони пройшли перед тим, як потрапити до моїх рук?","Ну~, иногда мне просто нравится думать о том, кто до меня держал эти деньги, знаешь? Как они оказались у меня в руках?"
SAY.Flowchart.193.Ellie,,"Oh! I’ve never thought of that. Maybe the previous owner could have owned 15 cats!{wc}Ahh, I love cats...","Ah! Eu não tinha pensado nisso. Talvez o antigo dono do dinheiro poderia ter 15 gatos!{wc}Ahh, eu amo gatos...","Ох! Я ніколи про це не думала. Можливо, в попереднього власника було 15 котів!{wc}Ах, я люблю котиків...","О! Я никогда об этом не думала. Может, у предыдущего владельца было 15 кошек!{wc} Ах, я обожаю кошек..."
SAY.Flowchart.194.Miss,,"Aww yes, cats are amazing.","Ahh sim, gatos são incríveis.","Ох, так, котики чарівні.","О, да, кошки — это что-то потрясающее."
SAY.Flowchart.196.Ellie,,We don’t deserve them!,Nós não os merecemos!,Ми на них не заслугували!,Мы не заслуживаем их!
SAY.Flowchart.197.Miss,,I concur.,Eu concordo.,Погоджуюсь!,Согласна.
SAY.Flowchart.201.Ellie,,"It seems like today is another work day. There’ve been so many I lost count, from all over the place!{wc}That reminds me: the other day, I finally got enough money to purchase something at Pocket Jewelry -- a cute little cat pendant necklace -- and sort of hinted at the robbery...","Parece que hoje é outro dia de trabalho. Já foram tantos que perdi as contas, e em todos os cantos da cidade!{wc}Isso me lembra que, no outro dia, eu finalmente consegui dinheiro o bastante para comprar algo na Joias de Bolso, um colar com pingente de gato muito fofo, e meio que falei do roubo...","Здається, сьогодні ще один робочий день. Їх було так багато, що я вже збилася з рахунку!{wc}Це мені нагадало, що я нарешті накопичила достатньо коштів, аби дещо придбати в «Кишенькових прикрасах» -- миленьке намисто з котиком -- і мимохідь зачепила тему пограбування.","Похоже, сегодня ещё один рабочий день. Их было так много, что я потеряла счёт, со всего!{wc} Кстати, на днях я наконец-то накопила достаточно денег, чтобы купить что-то в Pocket Jewelry — милое кошачье подвеску на цепочке — и как бы намекнула на ограбление..."
SAY.Flowchart.214.Store Clerk,,Thank you for your purchase!{wc}Have a nice day!,Obrigada pela sua compra!{wc}Tenha um ótimo dia!,Дякуємо за покупку!{wc}Гарного дня!,Спасибо за покупку!{wc} Хорошего дня!
SAY.Flowchart.215.Ellie,,"Ah, thank you!{wc}...{wc}Um... can I ask, though, just out of curiosity, was everything fine after the occasion?","Ah, obrigada!{wc}...{wc}Hum... quero te perguntar, só por curiosidade, ficou tudo bem depois da ocorrência?","Ах, дякую!{wc}...{wc}Ем... можна дізнатися, просто цікаво, чи все у вас гаразд по тому випадку?","Ах, спасибо!{wc}...{wc}Эм... могу спросить, просто из любопытства, всё было в порядке после того случая?"
SAY.Flowchart.216.Store Clerk,,...Sorry? Which occasion?,...Me desculpe? Que ocorrência?,...Перепрошую? Про який випадок ви говорите?,..Извини? О каком случае ты говоришь?
SAY.Flowchart.217.Ellie,,"You know, the...","Você sabe, o...","Ну знаєте, той...","Ты знаешь, тот..."
SAY.Flowchart.288.Ellie,,{i}I motion at the display cases I cleaned.{/i},{i}Eu aponto para as vitrines que reparei.{/i},"{i}Я вказала на вітрини, що мені довелося прибирати.{/i}","{i}Я указываю на витрины, которые я убрала.{/i}"
SAY.Flowchart.298.Store Clerk,,"Um... hmm, I’m not sure what you’re talking about exactly...{wc}...{wc}","Hum... Eu não sei muito bem do que você tá falando...{wc}...{wc}...","Ем... я не певна, про що саме ви говорите...{wc}...{wc}...","Эм... хмм, не совсем понимаю, о чём ты...»{wc}...{wc}..."
SAY.Flowchart.274.,,{i}She seems to pale a little bit as her eyes widen.{/i},{i}Ela parece arregalar os olhos e ficar meio pálida.,"{i}Умить вона зблідла, а її очі розширилися.{/i}","{i}Она немного бледнеет, глаза расширяются от удивления.{/i}"
SAY.Flowchart.275.Store Clerk,,"Ah, were you part of the drug-- {wc}I mean, sorry, no, we’re perfectly fine. Don’t worry, your jewelry is genuine.","Ah, você soube da gangue... {wc}Quero dizer, me desculpe, não, estamos perfeitamente bem. Não se preocupe, sua joia é verdadeira.","Ах, ви маєте на увазі нарко-- {wc}Тобто, ні, так, ми в порядку. Не хвилюйтеся, ваші прикраси справжні.","Ах, ты была причастна к наркоторговле-- {wc} То есть, извини, нет, всё в порядке. Не переживай, твоё украшение подлинное."
SAY.Flowchart.276.,,"{i}She’s so awkward I can’t help trying to end things on a lighter note. And what does she mean, drugs? I thought it was just a simple robbery!{/i}","{i}Ela está tão desconfortável que eu devo tentar encerrar isso de forma mais leve. E o que ela quis dizer com ""gangue""? Eu achei que tivesse sido um simples roubo feito por uma só pessoa!","{i}Вона знітилася, тож я намагалася перевести розмову в інше русло. І що вона мала на увазі під «нарко»?.. Я гадала, це було звичайне пограбування!{/i}","{i}Она такая неловкая, что я не могу не попытаться сгладить ситуацию. А что она имеет в виду, наркотики? Я думала, это просто простое ограбление!{/i}"
SAY.Flowchart.219.Ellie,,"Oh, don’t worry about it! You know, I’m buying this necklace because I’m a cleaner!","Ah, não se preocupe com isso! Sabe, eu estou comprando esse colar porque eu sou uma faxineira!","Ох, не хвилюйтеся про це! Знаєте, як купую це намисто, бо займаюся прибиральництвом!","О, не переживай! Знаешь, я покупаю это ожерелье, потому что я уборщица!"
SAY.Flowchart.289.Ellie,,"I used to wear a ring, but you always have to take those off when you wear gloves, and...","Eu costumava usar um anel, mas você sempre tem que tirar eles quando usa luvas, e...","До того я носила кільце, але щоразу його доводилося знімати, аби натягнути рукавички, і...","Раньше я носила кольцо, но его всегда приходится снимать, когда надеваешь перчатки, а..."
SAY.Flowchart.277.,,{i}The store clerk’s mood noticeably shifts at the mention that I’m a cleaner. She looks back at the purchase screen.,{i}A expressão da atendente muda de forma notável após eu mencionar que sou uma faxineira. Ela olha novamente para a tela de compras.,"{i}При згадці про те, що я прибиральниця, вираз обличчя продавчині помітно змінився. Вона знову подивилася на екран покупок.","{i}Настроение продавца заметно меняется, когда она слышит, что я уборщица. Она возвращается к экрану покупки.{/i}"
SAY.Flowchart.231.Ellie,,"But yeah, it was really weird. I mean, I know I’m not supposed to talk about the crimes publicly, but isn’t it just a little strange?","Mas sim, foi bem esquisito. Quero dizer, eu sei que não posso falar dos crimes publicamente, mas não é um pouco estranho?","Але та, це було вкрай дивно. Тобто так, як знаю, ще не маю розмовляти про злочини на загал, та хіба це трохи не дивно?","Но да, это было действительно странно. Я знаю, что не должна обсуждать преступления публично, но разве это не немного странно?"
SAY.Flowchart.232.Ellie,,"Whatever! 2 AM at the new location, as always!{wc}This time, I want to give Miss a little gift. She’s been doing so much for me, I should give her something back!","Tanto faz! Às 2 da manhã no novo local, como sempre!{wc}Dessa vez eu quero dar um pequeno presente pra Dona. Ela tem feito tanto por mim, eu deveria retribuir!","Гаразд! О другій ночі в новому місці, як завжди!{wc}Цього разу я хочу зробити Панні невеликий подарунок. Вона так багато зробила для мене, що я просто не можу не віддячити!","Ладно! 2 часа ночи на новом месте, как всегда!{wc} На этот раз я хочу подарить мисс небольшой подарок. Она так много для меня сделала, я должна чем-то отплатить!"
