Key,Description,Standard,pt-br,uk,ru
SAY.Flowchart.18.Ellie,,{i}(Oh. Wow.. uh... this may be hard.),{i}(Ah. Uau.. é.. isso talvez seja difícil.),{i}(Ой. Йой... е-е... із цим можуть виникнути проблеми.),Ого... эээ... это может быть трудно.
SAY.Flowchart.57.Ellie,,"Miss, do you perhaps.. want to share the cherries together? It might help my nerves.","Dona, talvez você.. gostaria de dividir as cerejas comigo? Comê-las talvez ajude a me acalmar.","Панно, Ви... не хочете поділитися вишнями? Це допоможе мені заспокоїти нерви.","Мисс, вы не хотите поделиться вишнями? Это может помочь мне успокоиться."
SAY.Flowchart.58.Miss,,"Oh, of course! You were the one who bought them anyway.","Ah, Claro! De qualquer forma, foi você quem as comprou.","Ох, звісно! Зрештою, ти їх принесла.","О, конечно! В конце концов, это ты их купил."
SAY.Flowchart.59.Ellie,,But I gave them to you though! So they’re yours now!,"Mas eu dei elas pra você! Então elas são suas, agora!",Але я їх подарувала Вам! Тож тепер вони Ваші!,Но я же отдала их тебе! Так что теперь они твои!
SAY.Flowchart.60.Miss,,"Hahah, okay, okay! Let’s share them then.","Hahah, tá bom, tá bom! Vamos dividi-las, então.","Ха-ха, гаразд-гаразд! Тоді розділімо їх.","Хаха, ладно, ладно! Давай тогда поделимся."
SAY.Flowchart.61.Ellie,,"{i}(...On second thought, being in this environment makes me feel a little sick. I don’t think I can even talk much, there’s just this unsettling vibe.){wc}(Oh well, I guess I’ll just get this done as soon as possible and get back home!)","{i}(...Pensando bem, estar nesse ambiente faz eu me sentir um pouco doente. Eu não acho que consiga nem falar muito, só sinto essa energia perturbadora.){wc}(Enfim, acho que vou só fazer meu trabalho o mais rápido possível e voltar pra casa!)","{i}(...Якщо так подумати, мені стає зле лишень від перебування в такі обстановці. Не думаю, що я навіть зможу багато говорити в такій важкій атмосфері.){wc}(Що ж, постараюся впоратися з усім якнайшвидше й нарешті піти додому!)","{i}(...Знаешь, а если подумать, эта обстановка меня немного мутит. Кажется, я даже не могу нормально говорить — тут какая-то тревожная атмосфера.){/i} {wc}(Ну да ладно, лучше поскорее с этим разобраться и вернуться домой!){/wc}"
SAY.Flowchart.2.Ellie,,"{i}(Cobweb, cobweb, go away...--)","{i}(Teiazinha, teiazinha, vá embora...)","{i}(Павутиння, павутиння, йди геть...--)","{i}(Паутина, паутина, исчезни...--)"
SAY.Flowchart.62.Ellie,,WAAAAUGH!,AAAAAHHH!,АААААААА!,ААААААААААА!!
SAY.Flowchart.3.Miss,,Ellie!? What’s wrong??,Ellie!? O que foi??,Еллі?! Що трапилось???,Элли!? Что случилось??
SAY.Flowchart.63.Ellie,,"SPIDER, SPIDER, SPIDERRHGHEIKGVFSFNJ!!!","ARANHA, ARANHA, ARANHARHGHEIKGVFSFNJ!!!","ПАВУК, ПАВУК, ПАВАГЖЗВГА!!!","ПАУК, ПАУК, ПАУКРГХГЕИКГВФСФНД!!!"
