Minigame2Init,,,,
Key,Description,Standard,pt-br,uk
SAY.Minigame2.18.Ellie,,"{i}(Woah.. Miss wasn’t kidding when said there was more work to do. Okay, let’s take this one step at a time.)","{i}(Uau.. Dona não estava brincando quando disse que tinha mais trabalho a ser feito. Certo, vamos fazer isso com um passo de cada vez.)","{i}(Овва... Панна не жартувала, що сьогодні доведеться попрацювати більше. Гаразд, треба з чогось починати.)"
SAY.Minigame2.2.Ellie,,I feel like an actual maid now.,Agora me sinto como uma faxineira de verdade.,Тепер я почуваюся справжньою покоївкою.
SAY.Minigame2.3.Miss,,Would you prefer that?,Você preferiria ser uma?,Тобі таке подобається?
SAY.Minigame2.4.Ellie,,"...No, it’s more cozy like this. Wah -- wait, not the crimes! I meant just having it be you and me, you know?","...Não, é mais agradável assim. Ahh... espera, não os crimes! Eu quis dizer por sermos só você e eu, sabe?","...Ні, просто так затишніше. А- -- стривайте, я не про злочини! Я мала на увазі бути разом із Вами, зрозуміли?"
SAY.Minigame2.5.Miss,,Hahaha! You truly are precious. I think the same.,"Hahaha! Você, de fato, é uma pessoa amada. Eu penso o mesmo.",Ха-ха-ха! Ти безцінна. Я теж так думаю.
SAY.Minigame2.23.Ellie,,{i}(I downright love working with Miss... she’s so nice and supportive.),{i}(Eu absolutamente amo trabalhar com a Dona... ela é tão legal e compreensiva.),{i}(Я просто обожнюю працювати з Панною... Вона дуже добра й завжди підтримає.)
SAY.Minigame2.7.Ellie,,I thought you said there wouldn’t be any more fixing windows today.,Eu achei que você tinha dito que não teríamos nenhuma janela para reparar hoje.,"Здається, Ви казали, що сьогодні не доведеться лагодити вікна."
SAY.Minigame2.8.Miss,,"Hm? No, I said ‘not just broken glass.’{wc}You’re amazing at fixing glass, but the true art of cleaning can be found in the little things!","Hm? Não, eu disse ""não apenas vidro quebrado.""{wc}Você é incrível em reparar vidro, mas a verdadeira arte da arrumação pode ser encontrada nas pequenas coisas!","Гм? Ні, я сказала «більше, ніж просто бите скло»{wc}Ти чудова в ремонтуванні скла, проте справжнє мистецтво прибирання розкривається в дрібницях!"
SAY.Minigame2.11.Ellie,,{i}(Hopefully it doesn’t come undone again.){wc}(I’d hate to store my valuables here and have the handle break when I need to take them out...),"{i}(Espero que não desencaixe novamente.){wc}(Eu odiaria guardar minhas coisas valiosas aqui e, quando precisasse pegá-las, o puxador quebrasse...)","{i}(Маю надію, більше воно не відпаде.){wc}(Не хотіла би я зберігати свої цінності в шухляді й там же їх поховати...)"
SAY.Minigame2.13.Ellie,,"{i}As I put the cup back in place and move away, I notice Miss covering it with her body.{wc}Perhaps she wanted coffee? But I see her hand slip into a pocket in her dress and pull out a tiny bag with --","{i}Assim que coloco o copo de volta no lugar e me afasto percebo Dona cobrindo ele com seu corpo.{wc}Talvez ela quisesse café? Mas, então, eu vejo sua mão escorregar para dentro de um bolso no seu traje e pegar um saquinho com...","{i}Тільки-но я кладу стаканчик на місце й відходжу, то помічаю, як Панна обступає його.{wc}Може, вона хоче кави? Але вмить я бачу, як її рука сковзає в кишеню й дістає крихітний пакетик з --"
