Key,Description,Standard,pt-br,uk,ru,zh-TW
SAY.Flowchart.1.Miss,,Done with another day!,Acabamos mais um dia!,На сьогодні впорались!,Закончился еще один день!,終於大功告成！
SAY.Flowchart.4.Ellie,,"Yesyesyes, whew!! :D","Simsimsim, ufa!!  :D","Та-та-та, хух! :D","Да-да-да, фух!! :D",太太太太棒 ler！！
SAY.Flowchart.106.Miss,,How did you feel about today?,Como você se sente sobre hoje?,Що думаєш про сьогоднішню зміну?,Как ты себя чувствуешь сегодня?,今天感覺如何？
SAY.Flowchart.107.Ellie,,"That was pretty easy! I think I’m getting quite good at fixing the windows.{wc}Say, what are you doing afterwards? Want to get some coffee or something?{wc}I actually need to go buy groceries--","Isso foi bem fácil! Acho que estou ficando boa em reparar janelas.{wc}Me diga, o que você vai fazer depois? Quer tomar um café ou algo?{wc}Na verdade, eu tenho que fazer umas compras...","Вона була досить легкою! Здається, я покращую свої навички в лагодженні вікон.{wc}Скажіть, що Ви робитимете після цього? Хочете піти на каву чи чогось іншого?{wc}Мені насправді потрібно зайти в продуктовий--","Это было довольно легко! Кажется, я уже неплохо справляюсь с ремонтом окон. А что ты будешь делать потом? Может, выпьем кофе или еще что-нибудь? Вообще-то мне нужно купить продукты.",其實這工作還蠻簡單的！我覺得我對修理窗戶越來越在行呢！{wc}我們接下來要一起出去玩嗎？買杯咖啡或是什麼的？{wc}我也應該去超市買買東西吧～
SAY.Flowchart.108.Miss,,Ellie! It’s 3 AM!,Ellie! São 3 da manhã!,Еллі! Зараз 3 ночі!,Элли! Сейчас три часа ночи!,艾莉！現在凌晨三點！！！
SAY.Flowchart.109.Ellie,,"Hehe, I’m just kidding!{wc}We should hang out sometime outside of work though, when it’s actually bright outside.","Hehe, estou só brincando!{wc}Nós deveríamos sair juntas algum dia sem ser no trabalho, quando ainda estiver claro lá fora.","Хе-хе, я жартую!{wc}Але я вважаю, що нам варто одного разу піти погуляти після роботи вдень.","Я просто шучу. Надо будет как-нибудь пообщаться вне работы, когда на улице будет светло.",哈哈，我是開玩笑的！{wc}我們改天天亮時還是可以一起出去玩歐～
SAY.Flowchart.110.Miss,,"Oh yes, that would be nice.","Ah sim, isso seria ótimo.","О, точно, було би добре.","О да, это было бы здорово.",那一定很棒吧！
SAY.Flowchart.112.Ellie,,{i}(We never did end up meeting up outside of work.){wc}(And I totally forgot to celebrate my 3 week anniversary.),{i}(Nós acabamos nunca nos encontrando fora do trabalho.){wc}(E eu acabei esquecendo completamente de comemorar o marco de 3 semanas no emprego.),{i}(Нам ще ніколи не випадало зустрітися поза роботою.){wc}(І я зовсім забула відмітити свої перші відпрацьовані 3 тижні.),{i}(Мы так и не встретились вне работы.){wc}(И я совершенно забыла отметить свою трёхнедельную годовщину.),{i}（ㄟ......我們後來也還是沒有在工作之餘見過面啦～）{wc}（然後我也忘記慶祝自己工作已滿三週惹～）
SAY.Flowchart.119.Ellie,,Yet another work day...!,Mais um dia de trabalho...!,Черговий робочий день!..,Еще один рабочий день...!,又是忙碌的一天！
SAY.Flowchart.120.Ellie,,"I’ve been at this job for how long now?{wc}I’m not sure, but sometimes it seems a little boring. Other times, I guess it’s quite intriguing. ","Já estou nesse trabalho a quanto tempo?{wc}Não tenho certeza, mas às vezes parece um pouco entediante. Já em outras vezes, eu acho que é bem intrigante.","Скільки я вже на цій роботі?{wc}Не впевнена, але іноді вона дещо нудненька. В інші рази вона буває, гадаю, досить інтригуючою. ","Сколько времени я уже работаю здесь?{wc}Не уверена, но иногда это кажется немного скучным. В другие моменты, думаю, это довольно интересно",我目前已經在這工作多久了？{wc}我也不太確定，但有時候也有點無聊，甚至很煩人。
SAY.Flowchart.121.Ellie,,"Like, how are these crimes committed so quietly? There’s literally no news about it!{wc}And where is my paycheck coming from?","Tipo, como esses crimes são cometidos tão silenciosamente? Não tem literalmente nenhuma notícia sobre eles!{wc}E de onde meu pagamento está vindo?",Цебто як ці злочини вчиняють настільки тихо? Немає від слова жодних новин про них!{wc}І звідки йде моя зарплата?,Как эти преступления совершаются так тихо? Об этом буквально нет никаких новостей!{wc}И откуда приходит моя зарплата?,「那些『案子』是怎麼在無人知無人曉的情況下犯的？」我總是這麼想。「新聞也根本沒有報導這些案子啊！」{wc}然後下一次發薪日是什麼時候啊？
SAY.Flowchart.162.Ellie,,"But I don’t really care too much, as long as I get the money!","Mas eu não me importo tanto assim, desde que eu seja paga!","Та мене це не надто хвилює, поки я отримую свої грошики!","Но меня это не слишком волнует, лишь бы деньги были!",但我一點也不關心，因為我只想要豐厚的薪水！
SAY.Flowchart.122.Ellie,,"{i}I walk into Cinnamon Hotel through its back door.{wc}I’ve never heard of this hotel before; it looks a bit run-down and shabby on the outside, just perfectly blending into the surrounding buildings.{wc}But the inside’s design is pretty modern, though rather empty.{wc}I slightly hope there’s something cinnamon-related while climbing the emergency stairs to the room Miss told me to meet at.","{i}Eu entro pela porta dos fundos do Hotel Canela.{wc}Eu nunca tinha ouvido falar desse hotel; por fora ele parece um pouco desgastado e decadente, harmonizando perfeitamente com os prédios ao redor dele.{wc}Mas por dentro tem um design moderno, embora esteja meio vazio.{wc}Eu tenho uma pequena esperança de que tenha algo relacionado à canela enquanto subo as escadas de emergência até a sala na qual Dona me disse para encontrá-la.","{i}Я заходжу в готель «Кориця» через чорний хід.{wc}Я ніколи не чула про нього; ззовні він має дещо зашкарублий вигляд, ідеально зливаючись із будинками довкола.{wc}Утім усередині він досить новий, та радше порожній.{wc}З невеликою надією на щось пов’язане з корицею, я підіймаюсь аварійними сходами до кімнати, в якій ми з Панною домовилися зустрітися.","{i}Я захожу в отель «Cinnamon» через черный вход.{wc}Никогда раньше не слышала об этом отеле; снаружи он выглядит немного обветшалым и потрёпанным, идеально сливаясь с окружающими зданиями.{wc}Но внутри дизайн довольно современный, хотя и довольно пустой.{wc}Слегка надеюсь, что тут есть что-то, связанное с корицей, пока поднимаюсь по запасной лестнице в номер, где мисс сказала меня ждать",{i}我從後門悄悄的走進肉桂飯店。{wc}我從來都沒有聽過這家飯店，但是從外觀上總覺得破破舊舊的，與其他旁邊建築的樣子十分搭。{wc}飯店內部空曠但看起來十分現代。{wc}我爬上緊急樓梯往工作約定的地點會合。
SAY.Flowchart.130.Miss,,Hey Ellie! How’s it going?,"E aí, Ellie! Como você está?","Гей, Еллі! Як справи?","Привет, Элли! Как дела?",嗨艾莉！最近過得如何？
SAY.Flowchart.131.Ellie,,"Ahh, doing good! Just another day, you know?","Ahh, estou bem! Apenas mais um dia, sabe?","Ах, усе гаразд! Черговий день, знаєте.","Ааа, все хорошо! Просто еще один день, понимаете?",過得不錯呢！又是另一個工作天啊！
