Key,Description,Standard,pt-br,uk,ru,zh-TW
SAY.Final.1.Ellie,,"Ahh, that was a little tiring. I wish I had more chances to eat the cherries.","Ahh, isso foi um pouco cansativo. Eu queria ter tido mais chances para comer as cerejas.","Ах, я дещо зморилася. Хотіла би я мати більше шансів поласувати тими вишнями.","Ах, это было немного утомительно. Хотелось бы, чтобы было больше шансов поесть вишни.",啊，這真的有點累人，我希望有更多時間能享受那些櫻桃啊！
SAY.Final.265.Miss,,Do you want the rest of them back? You can have them.,Você quer o resto delas de volta? Pode ficar com elas.,"Хочеш, решту я віддам тобі? Я не проти.",Хочешь верну тебе остальные? Ты можете забрать их.,妳想要剩下的櫻桃嗎？我可以給妳啊！
SAY.Final.267.Ellie,,"Noo! We went over this already! You take them. I have more at home! Plus, they were buy one pound get one pound free--","Nãao! Já falamos sobre isso! Você fica com elas. Eu tenho mais em casa! Além do mais, estavam na promoção...","Ні! Ми вже про це говорили! Вони Ваші. Я маю ще вдома! Крім того, вони були за акцією--","Нет-нет! Мы уже это обсуждали! Ты забирай их. У меня дома есть ещё! К тому же, было ""купи один фунт — получи второй бесплатно""!",不用了！我們不是討論過了嗎？我家裡有更多櫻桃啊！所以那些櫻桃就是妳的了！加上這些櫻桃買一送一，所以不用客氣啦！
SAY.Final.268.Ellie,,"Oh, wait, I shouldn’t have said that. Oops!","Ah, espera, eu não deveria ter dito isso. Oopa!","Ой, заждіть, я не мала цього казати. Упс!","Ой, подожди, я не должна была этого говорить. Ой!",抱歉我剛剛不應該說這些話的！
SAY.Final.269.Miss,,"Hahaha! Don’t worry, it makes me feel a little better knowing you saved some money.","Hahaha! Não se preocupe, isso faz eu me sentir um pouco melhor, saber que você economizou dinheiro.","Ха-ха! Не хвилюйся, мені легше, знаючи, що ти заощадила кошти.","Хахаха! Не переживай, мне становится немного легче, зная, что ты сэкономила немного денег.",哈哈！不用擔心啦！妳剛剛的話也讓我知道妳有在省錢，這正好讓我放心了一些。
SAY.Final.264.Ellie,,"Mm, another day.{wc}...{wc}Miss told me to be there at 2 AM like usual, but I’m up early...{wc}I know it’s 11 PM right now, but I think I’ll just go now -- the address looked like it was way inside the forest. I’m bound to get lost.{wc}Ooh! Perhaps I should bring her some apples this time?","Hum, mais um dia.{wc}...{wc}Dona me disse para estar lá às 2 da manhã, como sempre, mas acordei cedo.{wc}Eu sei que são 11 da noite agora, mas acho que já irei. O endereço parecia ser no meio da floresta. Com certeza vou me perder.{wc}Aah! Talvez eu deva levar umas maçãs para ela desta vez?","М-м, ще один день.{wc}...{wc}Панна наказала мені бути на місці о 2 ночі, але я вже встала на ноги...{wc}Знаю, зараз тільки 11-а, та я вже піду -- адреса знаходиться десь глибоко в лісі. Сто відсотків заблукаю.{wc}Ой! Мабуть, на цей раз варто принести їй кілька яблучок?","Мм, ещё один день.{wc}...{wc}Мисс сказала быть там в 2 ночи, как обычно, но я встала рано...{wc}Знаю, сейчас 11 вечера, но, наверное, я всё-таки пойду сейчас — адрес выглядел так, будто он глубоко в лесу. Я точно заблужусь.{wc}Ох! Может, в этот раз я принесу ей яблок?",啊，又是一天的開始。{wc}...{wc}小姐告訴我如常的在凌晨兩點抵達工作地點，但我不小心提早了......{wc}我知道現在才晚上十一時，但我覺得現在就可以先提早早過去了—工作地點好像是在森林內。我還蠻有可能因此迷路的。{wc}Ooh! 說不定我下次帶一些蘋果給她吧！
SAY.Final.283.Ellie,,"{i}Somehow, I ended up navigating the directions perfectly well! That’s a win, but now I’m here 2 hours early.{wc}...{wc}After getting through an ivy-infested gate as tall as at least 200 crates of melons, I’m now standing in front of this huge manor clutching a basket of red apples in my hands.{wc}Well, red apples and a rose. Might as well have brought a slice of cake and a bottle of wine.{wc}...","{i}De algum jeito, acabei seguindo as direções perfeitamente bem! Isso é ótimo, mas agora estou aqui 2 horas mais cedo.{wc}...{wc}Após atravessar um portão cheio de trepadeiras e com umas 200 caixas de melão de altura, agora estou parada de frente para essa mansão gigante e com uma cesta de maçãs vermelhas nas mãos.{wc}Bom, maçãs e uma rosa. Eu deveria ter trago, também, uma fatia de bolo e uma garrafa de vinho.{wc}...","{i}Якимось чином, мені вдалося швидко зорієнтуватися! Це перемога, проте я прийшла на дві години завчасно.{wc}...{wc}Пройшовши через обвиту плющем браму, заввишки щонайменше з 200 ящиків динь, я зупинилася перед величезним маєтком, стискаючи в руках кошик із червоними яблуками.{wc}Ну, з червоними яблуками й трояндою. З таким же успіхом можна було би принести шматочок торта й пляшку вина.{wc}...","{i}Как-то я отлично справилась с навигацией! Это победа, но теперь я здесь на 2 часа раньше.{wc}...{wc}Пройдя через ворота, заросшие плющом и высотой, наверное, как 200 ящиков с дынями, я теперь стою перед огромным особняком, держа в руках корзину с красными яблоками.{wc}Ну, красными яблоками и розой. Могла бы принести ещё кусочек торта и бутылку вина.{wc}...",{i}出乎意料地，我似乎能夠成功的找到等等的集合點！雖然這讓我多了些成就感，但不管怎麼樣我還是得待在這邊兩個小時{wc}......{wc}穿過一道至少有兩百箱西瓜那麼高的常春藤大門後，我手中拿著一籃蘋果站在這巨大莊園的正中央。{wc}啊～紅通通的蘋果以及玫瑰。如果再配塊蛋糕與一瓶紅酒也不賴{wc}......
SAY.Final.81.Ellie,,"{i}Weird, I swear I just heard some sort of sound come from inside.{wc}...{wc}Okay, well, it wouldn’t be good if the crime scene was ruined, right?{wc}...But it’s kind of scary, and I don’t want to be that type of dumb horror movie protagonist...{wc}This wooden door in front of me is all that’s blocking me from the indoors and out.{wc}It’s actually quite pretty. The wood has little cedar patterns carved into it --{wi} maybe it’s made of cedar wood?—{wc}I’m jerked out of my thoughts as I hear another sound from inside.{wc}Should I just go inside?{wc}I really don’t want to disappoint Miss. I know she told me to wait until exactly 2 AM, but that was months ago, and aren’t we closer now?{wc}What if the scene gets ruined because I didn’t do anything about it?{wc}I could clean up the entire thing now and tell her I did it! I think she would be happy!{wc}My hands don’t reflect my thoughts, however, and they sweat so badly my basket feels like it just became a tug-of-war rope.","{i}Esquisito, posso jurar que ouvi algum tipo de som vindo lá de dentro.{wc}...{wc}Tá bem, ótimo, não seria bom se a cena do crime fosse arruinada, certo?{wc}...Mas é meio assustador, e eu não quero ser como um protagonista idiota de filmes de terror...{wc}Tudo que me separa do interior da mansão é essa porta de madeira na minha frente.{wc}Na verdade, até que ela é bonita. A madeira tem pequenos padrões entalhados... talvez ela seja feita de cedro?{wc}De repente, sou puxada de volta dos meus pensamentos ao ouvir outro som vindo lá de dentro.{wc}Será que devo entrar?{wc}Eu realmente não quero decepcionar a Dona. Eu sei que ela me disse para esperar exatamente até as 2 da manhã, mas isso já faz dois meses, não somos mais íntimas agora?{wc}O que aconteceria se a cena fosse arruinada por eu não ter feito nada a respeito?{wc}Eu poderia arrumar tudo agora e depois dizer pra ela que eu fiz isso! Eu acho que ela ficaria feliz!{wc}Entretanto, minhas mãos não obedecem ao meu cérebro, e estão tão suadas que a cesta parece escorregar delas.","{i}Дивно, можу поклястися, я почула якийсь звук, що лунав ізсередини.{wc}...{wc}Гаразд, було би кепсько зруйнувати сцену злочину, чи не так?{wc}...Але ж лячно, і я не хочу бути тим дурнуватими головним героєм горору...{wc}Ці дерев’яні двері -- єдина перешкода між мною та серединою маєтку.{wc}Вони досить гарненькі, справді-то. По дереву вирізьблено маленькі кедрові візерунки --{wi} може, вони зроблені з кедру?--{wc}Я випала з власних думок, як зсередини пролунав інший згук.{wc}Може, варто ввійти?{wc}Я дуже не хочу розчаровувати Панну. Знаю, вона казала приходити мені рівно о 2 ночі, та це було місяці тому, і хіба ми не зблизилися за весь цей час?{wc}А раптом сцена зіпсується через мою бездіяльність?{wc}Я могла би вже все прибрати й потім сказати про це Панні! Думаю, вона б зраділа!{wc}Мої руки не підкоряються, ще й спітніли настільки, що кошик видається непосильним тягарем.","{i}Странно, я клянусь, что только что услышала какой-то звук изнутри.{wc}...{wc}Ладно, не хотелось бы, чтобы место преступления было испорчено, верно?{wc}...Но это как-то страшно, и я не хочу быть той глупой главной героиней из ужастиков...{wc}Эта деревянная дверь передо мной — всё, что отделяет меня от внутреннего пространства и внешнего мира.{wc}Она на самом деле довольно красивая. Дерево с маленькими рисунками кедровых узоров, вырезанными в нём —{wi} может, это сделано из кедрового дерева?—{wc}Меня выдергивает из мыслей, когда я снова слышу звук изнутри.{wc}Мне стоит зайти внутрь?{wc}Я действительно не хочу разочаровать мисс. Я знаю, что она сказала подождать до 2 ночи, но это было месяцы назад, разве мы не ближе сейчас?{wc}Что если место преступления будет испорчено, потому что я ничего не сделала?{wc}Я могу убраться там прямо сейчас и сказать ей, что я всё сделала! Думаю, она будет рада!{wc}Но мои руки не отражают мои мысли, и они потеют так сильно, что моя корзина теперь ощущается, как верёвка для перетягивания каната.",{i}奇怪的是，我發誓我剛剛聽到了從建築內發出的弔詭聲音。{wc}......{wc}我相信我不應該把犯案現場搞砸吧{wc}......可是這一切都有點可怕，所以我也不該向某些恐怖電影的主角一樣笨倒去探險吧......{wc}這扇木門是唯一能擋住我進去犯案現場的吧？{wc}這扇門頗有設計感—有各式各樣華麗的花紋—{wi}這說不定是雪松木？—{wc}一聲從室內發出的駭人聲響把我拉回實際。{wc}我該直接進入室內嗎？{wc}我真的不想讓小姐失望。她雖然跟我告誡過必須等到凌晨兩點以後才能進到工作現場，不過那也是兩個月前的事情了吧？我們也不是夠親近了嗎？{wc}如果犯案現場因為我毫無作為而被搞砸了怎麼辦？{wc}我可以清理整個犯案現場並跟小姐說是我自己獨自清理的啊！我覺得她會開心的！{wc}我的雙手好像不聽我腦袋的使喚，雙雙都留下了一把汗，讓手上的籃子變成拔河選手在場上的繩子似的。
SAY.Final.83.Ellie,,{i}Whatever -- a leap of faith it is!{wc}For Miss!,{i}Que seja... é um ato de fé!{wc}Pela Dona!,{i}Нічого -- це символ довіри!{wc}Заради Панни!,"{i}Ну всё, прыжок веры!{wc}Для мисс!",為了小姐！{i}我必須下定決心！{wc}
SAY.Final.86.Ellie,,{i}I walk into Spider Manor.{s=5}{wc}...{wc}{/s}{s=15}I freeze in shock. {wc}My basket drops to the floor. {wc}{/s}{s=20}The apples roll out one by one towards the scene in front of me.,"{i}Eu entro na Mansão Aranha.{s=5}{wc}...{wc}{/s}{s=15}Meu corpo congela.{wc}Minha cesta cai no chão.{wc}{/s}{s=20}As maçãs, uma após a outra, rolam até a cena na minha frente.",{i}Я заходжу в Павучий маєток.{s=5}{wc}...{wc}{/s}{s=15}Мене проймає шок. {wc}Кошик падає додолу. {wc}{/s}{s=20}Яблука одне з одним викочуються на сцену переді мною.,{i}Я захожу в Особняк Паука.{s=5}{wc}...{wc}{/s}{s=15}Я замерзаю от шока. {wc}Моя корзина падает на пол. {wc}{/s}{s=20}Яблоки катятся одно за другим к сцене передо мной,{i}在我戰戰兢兢地走入蜘蛛莊園時{s=5}{wc}......{wc}{/s}{s=15}我被眼前的景象經呆了{wc}手一鬆，籃子就掉在地上{wc}{/s}{s=20}蘋果便在我眼前散落一地。我實在無法相信自己所見的悽慘景象。
