Key,Description,Standard,pt-br,uk,ru,zh-TW
SAY.ENIntro.215.Ellie,,...Hello! My name is Ellie!,...Olá! Meu nome é Ellie!,...Привіт! Мене звуть Еллі!,...Привет! Меня зовут Элли!,我叫做艾莉！
SAY.ENIntro.4.Ellie,,...,...,...,...,......
SAY.ENIntro.5.Ellie,,"Hmm... there’s not really much else to say, I’m just a normal girl with normal hobbies and a normal-ish job...{wc}Um, wanna know my favorite color? It's #c70a0a, a nice shade between red and red velvet!","Hmm... não há muito mais a se dizer, eu sou apenas uma garota normal com passatempos normais e um trabalho normal...{wc}Hum, quer saber qual a minha cor favorita? É a #c70a0a, um belo tom entre vermelho e carmesim!","Гм... Нічого такого більше й не скажеш. Я звичайна дівчина зі звичайними захопленнями та... цілком нормальною роботою...{wc}Е-е, знаєш, який мій улюблений колір? Це #c70a0a -- гарний відтінок між червоним та оксамитовим!","Хмм... на самом деле нечего особо рассказывать, я просто обычная девушка с обычными увлечениями и достаточно обычной работой...{wc} Эм, хочешь узнать мой любимый цвет? Это #c70a0a, красивый оттенок между красным и бархатным красным!",我好像沒有太多可以介紹的。我自己只是一個平凡的女孩，擁有平凡的興趣平凡的職業......{wc}對了，你知道我最喜歡的顏色嗎？是 #c70a0a，一種類似於龍蝦的深紅色，不錯吧！
SAY.ENIntro.105.Ellie,,"I don’t know, I’m just rambling on now...","Eu não sei, agora estou apenas divagando...","Ну ось, виходить якась нісенітниця...","Наверное, я просто несу чушь..",我不知道該講什麼了，剛剛都只是在碎唸而已......
SAY.ENIntro.7.Ellie,,"Oh! Today marks the 3 week anniversary of my first ever job. It doesn’t have any set hours, but it pays $1,500 every time I go! Can you believe it?","Oh! Hoje faz exatos 3 meses que comecei no primeiro trabalho da minha vida. Não é um trabalho com horário fixo, mas paga 7 mil reais toda vez que vou! Você acredita nisso?","Ой, сьогодні же рівно три тижні з тих пір, як я влаштувалася на свою першу роботу! Я не маю сталого графіку, проте щоразу, як приходжу, мені платять $1500. Можеш таке собі уявити?","О! Сегодня исполняется три недели с того дня, как я начала свою первую работу. У неё нет фиксированных часов, но платят 1500 долларов каждый раз, когда я иду! Ты можешь в это поверить?",對了！今天是我在我的第一份工作的第三週了！這份工作沒有固定的工時，但此份工作一次就給五萬多！你敢相信嗎？
SAY.ENIntro.6.Ellie,,"Ah, but you must be wondering ‘where are you?’ and ‘what are you wearing?’ and ‘why does your hair look so gorgeous?’.{wi} Fear not, for I am here to answer all your questions!","Ah, mas você deve estar se perguntando ""onde você está?"" e ""o que você está vestindo?"" e ""por que seu cabelo está tão lindo?"". Não tema, pois eu estou aqui para responder todas as suas perguntas!","Ах, і ти напевне дивуєшся: «Де ти працюєш?», «У що це ти вдягнена?» та «Чому твоє волосся таке вишукане?»{wi}Але не хвилюйся, бо я тут, аби відповісти на всі твої запитання!","Ах, но ты, наверное, задаёшься вопросами: 'Где ты?' и 'Что ты носишь?' и 'Почему твои волосы такие красивые?'.{wi} Не переживай, я здесь, чтобы ответить на все твои вопросы!",你可能在想，「你現在在哪？」、「你現在穿的是什麼」或是「為什麼妳的頭髮這麼好看？」等等問題。{wi}不用擔心，我就是專門回答這些問題的！
SAY.ENIntro.23.Ellie,,My first college semester is finally over!! All my pain and suffering can end!!!,Meu primeiro semestre da faculdade finalmente acabou!! Toda a minha dor e sofrimento terminaram!!!,"Нарешті, кінець першого семестру в коледжі! Блаженний кінець моїм мукам і стражданням!!!",Мой первый семестр в колледже наконец-то закончился!! Всё моё страдание и боль могут закончиться!!!,我終於脫離了大學第一年的摧殘了！所有大學期間的痛楚也終於可以停止了！
SAY.ENIntro.109.Ellie,,"Temporarily, but still...","Temporariamente, mas ainda assim...","Тимчасово, та все ж...","Временно, но всё равно...",暫時拉......但是至少可以暫時放掉一陣子
SAY.ENIntro.25.Ellie,,"Woah, what is this? A poster? It’s so cute!","Uau, o que é isso? Um cartaz? É tão fofo!","Йой, що це? Постер? Такий миленький!","Ого, что это? Постер? Какой милый!",這是什麼？一張海報？好可愛啊！
SAY.ENIntro.26.Ellie,,Hmmm..{wc}Miss Inconspicuous Maid Girl Cleaning Co... (That’s such a long name)... Now hiring for --,Hmmm..{wc}Serviços de Limpeza Dona Discreta... (Que nome longo)... Contratando agora por...,Гм-м...{wc}Клінінгова компанія «Непомітна Панна Покоївка»... (Така довга назва)... Наймає працівників за --,Хмм...{wc} Miss Inconspicuous Maid Girl Cleaning Co... (Какое длинное название)... Сейчас ведётся набор на —,{wc}小姐絕對正常女僕清潔股份有限公司（真長的名字啊）誠徵—
SAY.ENIntro.113.Ellie,,-- HUH?,HUH?,-- ГА?,-- ЧТО?,蛤！？
SAY.ENIntro.115.Ellie,,"$1,500 per day on the job?{wi} IN THIS ECONOMY!? And a day on the job meaning ... an HOUR?",7 mil reais por cada dia de trabalho? NESTA ECONOMIA!? E um dia de trabalho significando... só uma HORA?,$1500 в день на роботу?{wi} З ТАКОЮ-ТО ЕКОНОМІКОЮ?! І робочий день триває... ГОДИНУ?,"1500 долларов в день за работу?{wi} В ЭТОЙ ЭКОНОМИКЕ!? А день работы — это что, ЧАС?",一次五萬？{wi}在這種經濟下可以找到這種工作？而且只是清潔而已一小時內就有這麼多進到我的戶頭？
SAY.ENIntro.102.Ellie,,"Oh my gosh, should I just join?","Oh meu Deus, será que devo tentar?",Господи! Чи варто мені погодитися?,"О, боже, мне что, прямо сейчас записаться?",哇！我應該加入嗎？
MENU.ENIntro.35,,Money!!?? Count me in!,Dinheiro!? Tô dentro!,"ГРОШИКИ?!?! Де грошики, там і я!",Деньги!!?? Я за!,錢！？誰不愛錢？
