Key,Description,Standard,pt-br,uk,ru,zh-TW
SAY.Minigame2.18.Ellie,,"{i}(Woah.. Miss wasn’t kidding when said there was more work to do. Okay, let’s take this one step at a time.)","{i}(Uau.. Dona não estava brincando quando disse que tinha mais trabalho a ser feito. Certo, vamos fazer isso com um passo de cada vez.)","{i}(Овва... Панна не жартувала, що сьогодні доведеться попрацювати більше. Гаразд, треба з чогось починати.)","{i}(Ух ты... Мисс не шутит, когда говорит, что работы еще много. Ладно, давай сделаем это шаг за шагом.)",{i}（說這裡的工作量比之前大一百倍也不為過！好吧！我們就一件事一件事慢慢來吧！）
SAY.Minigame2.2.Ellie,,I feel like an actual maid now.,Agora me sinto como uma faxineira de verdade.,Тепер я почуваюся справжньою покоївкою.,Теперь я чувствую себя настоящей горничной.,我感覺像是真正的女僕啊！
SAY.Minigame2.3.Miss,,Would you prefer that?,Você preferiria ser uma?,Тобі таке подобається?,Тебе такое нравится?,妳想當真的女僕嗎？
SAY.Minigame2.4.Ellie,,"...No, it’s more cozy like this. Wah -- wait, not the crimes! I meant just having it be you and me, you know?","...Não, é mais agradável assim. Ahh... espera, não os crimes! Eu quis dizer por sermos só você e eu, sabe?","...Ні, просто так затишніше. А- -- стривайте, я не про злочини! Я мала на увазі бути разом із Вами, зрозуміли?","...Нет, так даже уютнее. Ах, подожди — не про преступления! Я имела в виду, что это просто ты и я, понимаешь?",好......還是算了，我比較喜歡現在的樣子—等等我不是指那些搶劫案！我只是享受你跟我一起工作時的美好時光而已。
SAY.Minigame2.5.Miss,,Hahaha! You truly are precious. I think the same.,"Hahaha! Você, de fato, é uma pessoa amada. Eu penso o mesmo.",Ха-ха-ха! Ти безцінна. Я теж так думаю.,Ха ха ха. Ты безценная. Я тоже так думаю,哈哈！我也這麼覺得！
SAY.Minigame2.23.Ellie,,{i}(I downright love working with Miss... she’s so nice and supportive.),{i}(Eu absolutamente amo trabalhar com a Dona... ela é tão legal e compreensiva.),{i}(Я просто обожнюю працювати з Панною... Вона дуже добра й завжди підтримає.),{i}(Мне чертовски нравится работать с Мисс... она такая милая и поддерживающая.),{i}（我真心非常喜歡跟小姐合作呢！在我有困難的時候總是會伸出援手！）
SAY.Minigame2.7.Ellie,,I thought you said there wouldn’t be any more fixing windows today.,Eu achei que você tinha dito que não teríamos nenhuma janela para reparar hoje.,"Здається, Ви казали, що сьогодні не доведеться лагодити вікна.","Я думала, вы сказали, что сегодня больше не будем чинить окна.""",我還想說妳承諾過今天不會有修玻璃的任務了。
SAY.Minigame2.8.Miss,,"Hm? No, I said ‘not just broken glass.’{wc}You’re amazing at fixing glass, but the true art of cleaning can be found in the little things!","Hm? Não, eu disse ""não apenas vidro quebrado.""{wc}Você é incrível em reparar vidro, mas a verdadeira arte da arrumação pode ser encontrada nas pequenas coisas!","Гм? Ні, я сказала «більше, ніж просто бите скло»{wc}Ти чудова в ремонтуванні скла, проте справжнє мистецтво прибирання розкривається в дрібницях!","Хм? Нет, я сказала 'не только разбитое стекло'.{wc} Ты прекрасно справляешься с ремонтом стекол, но настоящее искусство уборки кроется в мелочах!",蛤？我剛剛是指「不僅限於修復玻璃」的工作。{wc}我知道妳對於修玻璃的在行，但是我們還是可以從其他小細節中找到清理的藝術！
SAY.Minigame2.11.Ellie,,{i}(Hopefully it doesn’t come undone again.){wc}(I’d hate to store my valuables here and have the handle break when I need to take them out...),"{i}(Espero que não desencaixe novamente.){wc}(Eu odiaria guardar minhas coisas valiosas aqui e, quando precisasse pegá-las, o puxador quebrasse...)","{i}(Маю надію, більше воно не відпаде.){wc}(Не хотіла би я зберігати свої цінності в шухляді й там же їх поховати...)","{i}(Надеюсь, это снова не сломается.){wc}(Не хотелось бы хранить свои ценности здесь, а потом, когда мне нужно их достать, ручка сломается...)",{i}（希望這手把不要再壞掉了。）{wc}（我真的不希望當作那位東西因為手把壞掉而被卡在裡面的倒楣鬼。）
SAY.Minigame2.13.Ellie,,"{i}As I put the cup back in place and move away, I notice Miss covering it with her body.{wc}Perhaps she wanted coffee? But I see her hand slip into a pocket in her dress and pull out a tiny bag with --","{i}Assim que coloco o copo de volta no lugar e me afasto percebo Dona cobrindo ele com seu corpo.{wc}Talvez ela quisesse café? Mas, então, eu vejo sua mão escorregar para dentro de um bolso no seu traje e pegar um saquinho com...","{i}Тільки-но я кладу стаканчик на місце й відходжу, то помічаю, як Панна обступає його.{wc}Може, вона хоче кави? Але вмить я бачу, як її рука сковзає в кишеню й дістає крихітний пакетик з --","{i}Когда я ставлю чашку на место и отхожу, замечаю, как Мисс накрывает её своим телом.{wc} Может, она хотела кофе? Но я вижу, как её рука проскальзывает в карман платья и вытаскивает маленький пакет с —",{i}當我把杯子放回原處時，我發現小姐用身體護著它。{wc}她可能突然口渴？可是我看她好像把一個小東西塞進口袋內並且拿出一袋...…
SAY.Minigame2.24.Ellie,,"{i}Wait, our dress has pockets?!? No way, seriously?{wc}I reach my hand into the same place. {wi}There’s a tiny pocket!!!","{i}Espera aí, nossos trajes têm bolsos?!? Sem chance, sério?{wc}Eu coloco minha mão no mesmo lugar do traje. {wi}Tem um bolsinho!!!","{i}Стривайте, в наших сукнях є кишені?!? Не може бути, дійсно?{wc}Я засовую свою руку теж. {wi}А й справді, манюсінька кишеня!!!","{i}Подожди, у нашего платья есть карманы?!? Серьезно?{wc} Я тяну руку в то же место. {wi}Там правда маленький карман!!!",{i}我們的洋裝有口袋？！？太扯了吧！{wc}我把我的手伸進剛剛小姐伸進的相同位置。{wi}這制服真的有一個小口袋ㄟ！
SAY.Minigame2.17.Ellie,,The cord snapped when it fell off the drawer.{wc}The screen also is cracked beyond repair...,O cabo arrebentou quando ela caiu do móvel.{wc}A tela também não tem conserto...,Шнур обірвався з падінням.{wc}Екран також розбився вщент...,"Шнур порвался, когда он упал с ящика.{wc}Экран тоже разбит так, что его уже не починить...",那台電視螢幕十分破舊{wc}底下的電源線也不堪使用。
SAY.Minigame2.16.Miss,,Good thing I brought an extra TV!,Que bom que eu trouxe uma televisão reserva!,"Добре, що я принесла запасний телевізор!","Хорошо, что я принёсла запасной телевизор!",好險我有帶一台備用的電視！
SAY.Minigame2.25.Ellie,,..Huh!? You what?,..Hã!? Você o quê?,...Га?! Ви що?,"..Что!? Ты что, серьёзно?",蛤？妳剛剛？
SAY.Minigame2.26.Miss,,It never hurts to be prepared for this.,Nunca é demais estar preparada para essas coisas.,Завжди добре бути до цього готовою.,Никогда не помешает быть готовым к такому.,俗話說的好：「有備無患」
SAY.Minigame2.27.Ellie,,"{i}(Woah, Miss is always so neat and prepared...)","{i}(Uau, Dona é sempre tão organizada e preparada...)","{i}(Овва, Панна така кмітлива й підготовлена...)","{i}(Ух ты, Мисс всегда такая аккуратная и подготовленная...)",{i}（哇！小姐總是會洞察事情的變化並且未雨綢繆！真厲害！）
SAY.Minigame2.29.Ellie,,"{i}(I’m surprised this pillow is relatively untouched, given the tragic state of the TV and all.)","{i}(Estou surpresa que este travesseiro esteja praticamente intacto, se levarmos em conta o estado trágico da TV e tudo mais.)","{i}(Я здивована, що подушка майже в ідеальному стані, враховуючи телевізор та інші речі.)","(Я удивлена, что эта подушка почти не пострадала, учитывая трагичное состояние телевизора и всего остального.)",{i}（在剛剛看到那台電視的慘況後，我很驚訝發現枕頭竟然一塵不染。）
SAY.Minigame2.31.Ellie,,"{i}(Ugh, I almost didn’t catch that! Cleaning really is in the little things...)","{i}(Ugh, quase não percebi isso! A arte da arrumação realmente está nas pequenas coisas...)","{i}(Ух, ледь не пропустила це! Прибирання справді розкривається в дрібницях...)","{i}(Ух, я почти это не заметила! Уборка действительно заключается в мелочах...)",{i}（痾......剛剛差一點就沒有注意到！魔鬼總是藏在細節裡。）
SAY.Minigame2.33.Ellie,,That was almost unnoticeable.,Isso estava quase imperceptível.,Цього було майже не помітно!,Это было почти не видно!,那幾乎很難發現。
SAY.Minigame2.34.Miss,,What was?,O quê?,Ти про що?,Про что ты?,那是？
SAY.Minigame2.35.Ellie,,"The lampshade, tilted like two degrees.","A luminária, estava inclinada uns dois graus.","Абажур, він похилився на два градуси.","Абажур, наклонённый всего на два градуса.",一盞燈，看起來傾斜了大約兩度。
SAY.Minigame2.36.Miss,,"Aww yeah, you have to keep your eyes peeled.","Ahh sim, você deve manter seus olhos bem abertos.","Ой, справді, треба бути пильною.","О да, нужно быть на чеку.",妳真的需要仔細觀察所有小細節啊！
SAY.Minigame2.37.Ellie,,I don’t know if I’m good at this...,Não sei se sou boa nisso...,"Не певна, що я в цьому добра...","Не знаю, хорошо ли я справляюсь с этим...",我真的不太擅長這種東西。
SAY.Minigame2.38.Miss,,Don’t worry!! We’re in this together.,Não se preocupe!! Estamos nessa juntas.,Не хвилюйся! Ми з тобою разом.,Не переживай!! Мы вместе в этом!,不用擔心！！我會在妳身旁幫忙的。
SAY.Minigame2.39.Ellie,,"Waaah, thank you Miss!","Ahhhh, obrigada, Dona!","Ох, дякую Вам, Панно!","Ох, спасибо Вам , Мисс",謝謝妳！
SAY.Minigame2.40.Miss,,"Haha~, anytime.","Haha~, a qualquer hora.","Ха-ха, нема за що!",Ха-ха нету за что!,不客氣～
SAY.Minigame2.42.Ellie,,"{i}(...!? Is this blood? ...No, it can’t be, right? Should I ask? ...Maybe, yeah, otherwise I wouldn’t know how to clean it.)","{i}(...!? Isso é sangue? ...Não, não pode ser, não é? Será que devo perguntar? ...Talvez sim, senão não saberia como limpar isso.)","{i}(...!? Це кров? ...Ні, не може бути, еге ж? Може, запитати? ...Мабуть, так, варто, а то я не знатиму, як цю пляму вичистити.)","{i}(...!? Это кровь? ...Нет, не может быть, правда? Спросить? ...Может быть, да, иначе я не буду знать, как это очистить.)",{i}（這......是血？不可能吧？我該問問小姐嗎？應該吧？不然我也不知道要怎麼處理才好）
SAY.Minigame2.50.Ellie,,"Hey, Miss...","Ei, Dona...","Гей, Панно...","Эй ,  Мисс....",小......小姐～
SAY.Minigame2.43.Miss,,Yeah?,Sim?,Так?,Да?,嗯？
SAY.Minigame2.44.Ellie,,Um... is this... you know?,Hum... isso é... você sabe?,Це... ну... Ви розумієте?,Это...ну..вы понимаете?,痾這是......妳知道的？
SAY.Minigame2.45.Miss,,What?,O quê?,Що?,Что?,什麼？
SAY.Minigame2.46.Ellie,,Uh.. I think there might be.. blood here?,É... eu acho que possa ter.. sangue aqui?,"Я думаю, що тут є... кров?","Я думаю, тут есть...кровь",我......我覺得這看起來好像是血跡。
SAY.Minigame2.51.Ellie,,...,...,...,....,...…
