Key,Description,Standard,pt-br,uk,ru,zh-TW
SAY.Flowchart.18.Ellie,,{i}(Oh. Wow.. uh... this may be hard.),{i}(Ah. Uau.. é.. isso talvez seja difícil.),{i}(Ой. Йой... е-е... із цим можуть виникнути проблеми.),Ого... эээ... это может быть трудно.,{i}（歐哇！這應該是至今最大的挑戰吧？）
SAY.Flowchart.57.Ellie,,"Miss, do you perhaps.. want to share the cherries together? It might help my nerves.","Dona, talvez você.. gostaria de dividir as cerejas comigo? Comê-las talvez ajude a me acalmar.","Панно, Ви... не хочете поділитися вишнями? Це допоможе мені заспокоїти нерви.","Мисс, вы не хотите поделиться вишнями? Это может помочь мне успокоиться.",小姐......妳可以跟我分一些櫻桃嗎？這可以分散注意力，緩和恐怖的氣氛。
SAY.Flowchart.58.Miss,,"Oh, of course! You were the one who bought them anyway.","Ah, Claro! De qualquer forma, foi você quem as comprou.","Ох, звісно! Зрештою, ти їх принесла.","О, конечно! В конце концов, это ты их купил.",好啊！反正那盒櫻桃也是妳買的。
SAY.Flowchart.59.Ellie,,But I gave them to you though! So they’re yours now!,"Mas eu dei elas pra você! Então elas são suas, agora!",Але я їх подарувала Вам! Тож тепер вони Ваші!,Но я же отдала их тебе! Так что теперь они твои!,可是那是我送妳的！所以那盒櫻桃就是妳的了！
SAY.Flowchart.60.Miss,,"Hahah, okay, okay! Let’s share them then.","Hahah, tá bom, tá bom! Vamos dividi-las, então.","Ха-ха, гаразд-гаразд! Тоді розділімо їх.","Хаха, ладно, ладно! Давай тогда поделимся.",那我就分一些給妳吧！
SAY.Flowchart.61.Ellie,,"{i}(...On second thought, being in this environment makes me feel a little sick. I don’t think I can even talk much, there’s just this unsettling vibe.){wc}(Oh well, I guess I’ll just get this done as soon as possible and get back home!)","{i}(...Pensando bem, estar nesse ambiente faz eu me sentir um pouco doente. Eu não acho que consiga nem falar muito, só sinto essa energia perturbadora.){wc}(Enfim, acho que vou só fazer meu trabalho o mais rápido possível e voltar pra casa!)","{i}(...Якщо так подумати, мені стає зле лишень від перебування в такі обстановці. Не думаю, що я навіть зможу багато говорити в такій важкій атмосфері.){wc}(Що ж, постараюся впоратися з усім якнайшвидше й нарешті піти додому!)","{i}(...Знаешь, а если подумать, эта обстановка меня немного мутит. Кажется, я даже не могу нормально говорить — тут какая-то тревожная атмосфера.){/i} {wc}(Ну да ладно, лучше поскорее с этим разобраться и вернуться домой!){/wc}",{i}（這裡的氣氛沈重的讓我有點不舒服。我真的在這種不適的空間內講不出什麼話）{wc}（我還是趕緊把這事做完離開這鬼地方吧！）
SAY.Flowchart.2.Ellie,,"{i}(Cobweb, cobweb, go away...--)","{i}(Teiazinha, teiazinha, vá embora...)","{i}(Павутиння, павутиння, йди геть...--)","{i}(Паутина, паутина, исчезни...--)",{i}（蜘蛛蜘蛛快走吧！）
SAY.Flowchart.62.Ellie,,WAAAAUGH!,AAAAAHHH!,АААААААА!,ААААААААААА!!,哇啊啊啊啊啊啊！
SAY.Flowchart.3.Miss,,Ellie!? What’s wrong??,Ellie!? O que foi??,Еллі?! Що трапилось???,Элли!? Что случилось??,艾莉！？發生什麼事了？
SAY.Flowchart.63.Ellie,,"SPIDER, SPIDER, SPIDERRHGHEIKGVFSFNJ!!!","ARANHA, ARANHA, ARANHARHGHEIKGVFSFNJ!!!","ПАВУК, ПАВУК, ПАВАГЖЗВГА!!!","ПАУК, ПАУК, ПАУКРГХГЕИКГВФСФНД!!!",有蜘蛛！蜘蛛！蜘蛛蜘蛛蜘蛛！！
SAY.Flowchart.5.Miss,,"Oh, I can get that for you.","Ah, eu posso pegá-la pra você.","Ах, я можу його прибрати.","О, я могу снять его для тебя.",這我也可以幫妳處理掉，別擔心的。
SAY.Flowchart.23.Ellie,,{i}(Miss picks up the spider with her hands and moves it outside the doorway.),{i}(Dona pega a aranha com as mãos e a leva para fora.),{i}(Панна бере павука голими руками й викидає за двері.),{i}(Мисс берет паука руками и выносит его за дверь.),{i}（小姐毫不費力地將蜘蛛移到門外。）
SAY.Flowchart.66.Miss,,"There, better?","Pronto, melhor?","Ось, так краще?","Вот, теперь лучше?",這樣有好一點了嗎？
SAY.Flowchart.65.Ellie,,Waahh.. yes... maybe I shouldn’t be a maid.,Aaahh.. sim.. talvez eu não devesse ser uma faxineira.,А-ах... так... мені не варто бути покоївкою...,"Ух... да... может, мне не стоит быть горничной.",哇啊啊......我說不定想放棄當女僕這行。
SAY.Flowchart.64.Miss,,"Oh, nonsense, everyone’s bound to be scared of something.","Ah, bobagem, todos estão fadados a terem medo de algo.","Нісенітниця, всі мають власні страхи.","О, чепуха, у каждого есть свои страхи!",每個人當然有自己害怕的東西啦～沒關係！
SAY.Flowchart.67.Ellie,,{i}(She’s so nice... are all employers like this?),{i}(Ela é tão legal... todos os patrões são assim?),{i}(Вона така лагідна... всі роботодавці такі?),{i}(Она такая милая... все ли работодатели такие?),{i}（她真的對我好好啊！所有的主管都對員工這麼好嗎？）
SAY.Flowchart.7.Ellie,,"{i}(These pillows are really stiff. I can’t imagine someone sleeping with these, it must be so uncomfortable.){wc}(My neck hurts just thinking about it...)","{i}(Esses travesseiros são muito duros. Mal posso imaginar alguém dormindo com eles, deve ser muito desconfortável.){wc}(Meu pescoço dói só de imaginar...)","{i}(Ці подушки надто жорсткі. Не можу й уявити, щоби хтось спав на таких, це, мабуть, дуже незручно.){wc}(Мені мулить шию лиш від однієї думки про них...)","{i}(Эти подушки такие жесткие. Не могу представить, как кто-то спит на них — должно быть, это так неудобно.){/i} {wc}(Моя шея уже болит, просто думая об этом...)",{i}（這些枕頭真的好硬啊！那一定睡起來很不舒服吧？）{wc}（光是想像自己睡在那上面的樣子就令人脖子痛。）
SAY.Flowchart.11.Ellie,,"{i}(Oh... did someone... no, it doesn’t seem like it...){wc}(I wanna get out of here...)","{i}(Ah... será que alguém... não, não parece ser...){wc}(Eu tenho que sair daqui...)","{i}(Ой... тут хтось... ні, навряд чи...){wc}(Я хочу втекти звідси...)","{i}(О... кто-то... нет, похоже, нет...) {/i} {wc}(Хочу выбраться отсюда...)",{i}（歐是不是有人......等等，看來不是。）{wc}（我真的不想繼續待在這了。）
SAY.Flowchart.13.Ellie,,"{i}(Some of the clothes are so small. Like something I’d wear when I was eight or something. Oh, why does time pass so fast..)","{i}(Algumas peças de roupa são muito pequenas, como algo que eu usaria quando tinha oito anos ou algo assim. Ah, por que o tempo passa tão rápido...)","{i}(Деякі речі дуже малі. Такі, які я могла носити десь у вісім рочків. Ох, час спливає, як вода...)","{i}(Некоторые вещи такие маленькие. Как что-то, что я носил(а), когда мне было восемь. Ох, почему время так быстро летит...)",{i}（這裡的衣服真的好小啊！感覺是我八歲時會穿的那種衣服。啊～為什麼時間總是過這麼快～）
SAY.Flowchart.29.Ellie,,I feel like I’m cleaning a lot of beds recently.{wc}Maybe I’ll be the bed cleaning expert instead of the glass cleaning expert.,Eu sinto que estou arrumando muitas camas recentemente.{wc}Talvez eu me torne especialista em arrumar camas ao invés de especialista em reparar vidros.,"Мені здається, віднедавна я  встигла прибрати так багато ліжок.{wc}Можливо, я все-таки стану експерткою з ліжок, а не зі скла.","Кажется, я последнее время много кроватей убираю. {wc} Может, я стану экспертом по чистке кроватей, а не окон.",我覺得最近越來越常整理床舖了。{wc}感覺自己又在清理的科技樹上點出「床舖整理技術」這門技術。
SAY.Flowchart.68.Miss,,"You have the skills to clean any mess, there’s no need for you to limit yourself to just one type.","Você possui habilidade para limpar qualquer bagunça, não há necessidade de limitar-se apenas a um tipo.","Ти маєш здібності в прибиранні різного характеру, дарма обмежувати себе лише в одному.","У тебя есть все навыки, чтобы справиться с любой уборкой, не стоит ограничиваться только одним типом.",妳的清理功夫不能只專精於一種歐！因為妳的潛能告訴我妳將能夠清理任何髒污！
SAY.Flowchart.69.Ellie,,{i}(Ah... Miss is so nice!),{i}(Ah... a Dona é tão legal!),{i}(Ах... Панна така добра!),{i}(Ах... Мисс такая милая!),{i}（啊！小姐真是親切！）
SAY.Flowchart.71.Ellie,,"{i}(Urk... is this blood? I feel a little queasy..){wc}(No, no, I’m sure it’s not blood, I’m just overthinking again. It’s okay.)","{i}(Eca... isso é sangue? Me sinto um pouco enjoada..){wc}(Não, não, estou certa de que não é sangue, só estou me preocupando demais. Tá tudo bem.)","{i}(У-у... це кров? Мене трішки нудить..){wc}(Ні-ні, я впевнена, що це не кров, -- я просто знову надумую. Все в порядку.)","{i}(Урк... это кровь? Меня немного мутит...) {/i} {wc}(Нет, нет, это точно не кровь, я просто снова все накручиваю. Все в порядке.)",{i}（痾這是血嗎？我感到有點不適）{wc}（哈......這一定又是我在胡思亂想啊！不用擔心啦！）
SAY.Flowchart.81.Ellie,,{i}(This reminds me of my childhood.),{i}(Isso me lembra minha infância.),{i}(Це нагадує мені про моє дитинство.),{i}(Это напоминает мне мое детство.),{i}（這讓我想起了自己的童年。）
SAY.Flowchart.87.Ellie,,"I kinda wanna use this fan... it’s a little hot... Miss, do you mind if I turn it on?","Eu meio que quero usar esse ventilador... tá um pouco calor... Dona, você se importa se eu ligá-lo?","Хотіла би я ввімкнути цей вентилятор... трошки душно... Панно, Ви не проти, якщо я його ввімкну?","Я как-то хочу включить этот вентилятор... немного жарко... Мисс, не против, если я его включу?",這裡真的有點熱欸，我可以打開那台電風扇嗎？
SAY.Flowchart.88.Miss,,"Huh? Oh, the fan?{wc}I don’t think it works very well, it seems like it’d be quite loud. But turn it on if you wish.","Hã? Ah, o ventilador?{wc}Eu não acho que ele funcione bem, parece que seria um pouco barulhento. Mas ligue-o, se desejar.","Га? А, вентилятор?{wc}Не думаю, що він справний, гадаю, від нього буде багато шуму. Але вмикай, якщо хочеш.","А? О, вентилятор? {wc}Не думаю, что он работает очень хорошо, кажется, он будет довольно громким. Но если хочешь, включай.",妳是指那台電風扇？{wc}我在猜那破東西不太能用，而且感覺會還蠻大聲的。但妳也可以打開看看。
SAY.Flowchart.89.Ellie,,{i}I turn on the fan.,{i}Eu ligo o ventilador.,{i}Я ввімкнула вентилятор.,{i}Я включаю вентилятор.,{i}我打開了電風扇。
SAY.Flowchart.97.Ellie,,"{i}In a second, the room is filled with clanking and screeching of metal and plastic. It feels like a few screws would fall off if I left it on for a second longer.{wc}I hurriedly turn it back off.","{i}Em um instante, a sala é infestada com o barulho de metal e plástico rangendo e batendo. Parece que alguns parafusos sairiam voando se eu o deixasse ligado por mais um segundo.{wc}Eu me apressei para desligá-lo.","{i}Умить скрегіт та брязкіт наповнили кімнату. Здається, ось-ось всі його гвинтики розкрутяться.{wc}Я поспішила вимкнути його.","{i}Через секунду комната наполняется звуками скрежета металла и пластика. Кажется, что если я оставлю его включенным еще на секунду, несколько винтов могут отпасть. {/i} {wc}Я спешно выключаю его обратно.",{i}房間轉瞬間充滿了金屬與塑膠的敲打以及摩擦聲。要是在放個幾秒風扇內的螺絲大概就會鬆脫吧？{wc}我迅速地把風扇插頭拔掉。
SAY.Flowchart.91.Ellie,,{i}(Miss was right... I should just listen to her next time.),{i}(Dona estava certa... eu devo dar ouvidos a ela na próxima vez.),{i}(Панна була права... Варто до неї прислухатися наступного разу.),{i}(Мисс была права... В следующий раз просто послушаю её.),{i}（小姐是對的，我應該好好聽她的指令才對。）
