Key,Description,Standard,pt-br,uk
SAY.Flowchart.18.Ellie,,{i}(Oh. Wow.. uh... this may be hard.),{i}(Ah. Uau.. é.. isso talvez seja difícil.),{i}(Ой. Йой... е-е... із цим можуть виникнути проблеми.)
SAY.Flowchart.57.Ellie,,"Miss, do you perhaps.. want to share the cherries together? It might help my nerves.","Dona, talvez você.. gostaria de dividir as cerejas comigo? Comê-las talvez ajude a me acalmar.","Панно, Ви... не хочете поділитися вишнями? Це допоможе мені заспокоїти нерви."
SAY.Flowchart.58.Miss,,"Oh, of course! You were the one who bought them anyway.","Ah, Claro! De qualquer forma, foi você quem as comprou.","Ох, звісно! Зрештою, ти їх принесла."
SAY.Flowchart.59.Ellie,,But I gave them to you though! So they’re yours now!,"Mas eu dei elas pra você! Então elas são suas, agora!",Але я їх подарувала Вам! Тож тепер вони Ваші!
SAY.Flowchart.60.Miss,,"Hahah, okay, okay! Let’s share them then.","Hahah, tá bom, tá bom! Vamos dividi-las, então.","Ха-ха, гаразд-гаразд! Тоді розділімо їх."
SAY.Flowchart.61.Ellie,,"{i}(...On second thought, being in this environment makes me feel a little sick. I don’t think I can even talk much, there’s just this unsettling vibe.){wc}(Oh well, I guess I’ll just get this done as soon as possible and get back home!)","{i}(...Pensando bem, estar nesse ambiente faz eu me sentir um pouco doente. Eu não acho que consiga nem falar muito, só sinto essa energia perturbadora.){wc}(Enfim, acho que vou só fazer meu trabalho o mais rápido possível e voltar pra casa!)","{i}(...Якщо так подумати, мені стає зле лишень від перебування в такі обстановці. Не думаю, що я навіть зможу багато говорити в такій важкій атмосфері.){wc}(Що ж, постараюся впоратися з усім якнайшвидше й нарешті піти додому!)"
SAY.Flowchart.2.Ellie,,"{i}(Cobweb, cobweb, go away...--)","{i}(Teiazinha, teiazinha, vá embora...)","{i}(Павутиння, павутиння, йди геть...--)"
SAY.Flowchart.62.Ellie,,WAAAAUGH!,AAAAAHHH!,АААААААА!
SAY.Flowchart.3.Miss,,Ellie!? What’s wrong??,Ellie!? O que foi??,Еллі?! Що трапилось???
SAY.Flowchart.63.Ellie,,"SPIDER, SPIDER, SPIDERRHGHEIKGVFSFNJ!!!","ARANHA, ARANHA, ARANHARHGHEIKGVFSFNJ!!!","ПАВУК, ПАВУК, ПАВАГЖЗВГА!!!"
SAY.Flowchart.5.Miss,,"Oh, I can get that for you.","Ah, eu posso pegá-la pra você.","Ах, я можу його прибрати."
SAY.Flowchart.23.Ellie,,{i}(Miss picks up the spider with her hands and moves it outside the doorway.),{i}(Dona pega a aranha com as mãos e a leva para fora.),{i}(Панна бере павука голими руками й викидає за двері.)
SAY.Flowchart.66.Miss,,"There, better?","Pronto, melhor?","Ось, так краще?"
SAY.Flowchart.65.Ellie,,Waahh.. yes... maybe I shouldn’t be a maid.,Aaahh.. sim.. talvez eu não devesse ser uma faxineira.,А-ах... так... мені не варто бути покоївкою...
SAY.Flowchart.64.Miss,,"Oh, nonsense, everyone’s bound to be scared of something.","Ah, bobagem, todos estão fadados a terem medo de algo.","Нісенітниця, всі мають власні страхи."
SAY.Flowchart.67.Ellie,,{i}(She’s so nice... are all employers like this?),{i}(Ela é tão legal... todos os patrões são assim?),{i}(Вона така лагідна... всі роботодавці такі?)
